category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
Artifacts dropped,sha256,f331f67baa2650c426daae9dee6066029beb8b17253f26ad9ebbd3a64b2b6a37,,1,1604307067,,"DONOT,APT-C-35,SectorE02",,,
Artifacts dropped,sha256,d4e587b16fbc486a62cc33febd5438be3a9690afc1650af702ed42d00ebfd39e,,1,1604307067,,"DONOT,APT-C-35,SectorE02",,,
Payload delivery,sha256,7550195fa3fc3f708be55c9da50c3bd2b561c3119802062c735cc4eec7fb1bc0,,1,1604315230,,,,,
Payload delivery,sha256,70df22a25cbb8715f1d3dd693123ac92203b3a27dfc6c7fa0e48239cf15cbf02,,1,1604315230,,,,,
Payload delivery,sha256,af6fb490604a1282ffaa1aeb41cfd96d887cfa095e504ebd3970552fcf6dd1c9,,1,1604337894,,,,,
Payload delivery,sha256,aec7483acbc84ae697a0e8525a9fd6d2caef107c411ad170297057e98f1472e8,,1,1604338018,,,,,
Payload delivery,sha256,1e6e568e2fccfeb2e0275982d5637e0be6d0ba4575685126d957061bf2d19678,,1,1604340214,,,,,
Payload delivery,sha256,9ef7031c21675175d39c99e0afa32d9e1a99b53572ae014126bd8374ead4f708,Merged from event 11558,1,1604305338,sha256,,81e06482-cf2b-453e-bfc2-102b69cbfc88,file,file
Payload delivery,sha256,89209624cd354749a520bff574eb1d1f73ef6f17727ccf530c6c3ab71e9408dc,Merged from event 11558,1,1604305338,sha256,,abefbda0-dad4-453e-9a18-8a7a3e9c8282,file,file
Payload delivery,sha256,34a80b91dccc2f4c596238eb2a36082437d8ca2672184009ec8d0eaa5eefff4f,Merged from event 11558,1,1604305338,sha256,,3335dd09-b67f-48cf-badf-f60eac63004e,file,file
Payload delivery,sha256,f9a6a5e807c2567395f2f892058b80f2e47f022c80ee1a3608b7168f30187616,Merged from event 11558,1,1604305338,sha256,,e622d0e3-4b62-4390-b167-857ff9fb64aa,file,file
Payload delivery,sha256,add1ca887148122425d16e308ac199739eab8862fbd66f86a647e5d4986b3fbd,Merged from event 11558,1,1604305339,sha256,,3669e881-23a1-4958-8603-9771ed970cd8,file,file
Payload delivery,sha256,2295dc79778c05ddb4e7518499075e886f8715429160af103cc928cb1880affb,Merged from event 11558,1,1604305339,sha256,,e463f230-856a-486d-b8d6-684aa0a2fe2d,file,file
Payload delivery,sha256,be40b7601baeeae327ff2faf08944b7764547e1098557979677014490dc4e6c3,Merged from event 11558,1,1604305339,sha256,,bb6d51a8-e8e6-460f-9238-a1b8d1936856,file,file
Payload delivery,sha256,cf59012780efc61b5b43f871b930f641aefe5f8ec87290c20ab643fb60d86fc3,Merged from event 11558,1,1604305339,sha256,,f0401ed3-ac6c-4338-90c3-66e8e619ed79,file,file
Payload delivery,sha256,0efaeb17f3febb68b3a14236aa1f231158a1690872914a0a2eb7c48c49fbd27a,Merged from event 11558,1,1604305339,sha256,,4b7ed440-2f3c-47fd-a5fc-e370a73b9719,file,file
